time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet), xSpeed(mph), ySpeed(mph), zSpeed(mph), compass_heading(degrees), pitch(degrees), roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
282300,2023-10-24 11:27:06,48.3682385803352,14.5120744308166,0,0,1484.5327417308,1484.5327417308,0,0,0,0,20,5,0,1484.5327417308,0,0,0,0,0,0,343.8, 0.4, -3.9,0,0,1024,1024,1024,1024,0,0,0,0,335.5,0,0,84,,,,,,,0,86.18,1484.5327417308,0,6,P-GPS,"Das Fluggerät fliegt in einer Höhenlage-Zone (500m). Bitte vorsichtig Fliegen."
282400,2023-10-24 11:27:06,48.3682385788833,14.5120744325445,0,0,1484.5327417308,1484.5327417308,0,0,0.0006753117014,0.0006753117014,20,5,0,1484.5327417308,0,0,0.0006753117014,0,0,0,343.8, 0.4, -3.9,0,0,1024,1024,1024,1024,0,0,0,0,335.5,0,0,84,,,,,,,0,86.18,1484.5327417308,0,41,Motors_Started,
282500,2023-10-24 11:27:06,48.3682385750969,14.5120744386823,0,0,1484.5327417308,1484.5327417308,0,0,0.0026995243646,0.00270548565088,20,5,24.139,1484.5327417308,0,0,0.0026995243646,0,0,0,343.8, 0.4, -3.9,0,0,1024,1024,1024,1024,0,0,0,0,335.5,0,0,84,,,,,,,2.135,86.18,1484.5327417308,0,41,Motors_Started,
282500,2023-10-24 11:27:06,48.3682385759964,14.5120744372123,0,0,1484.5327417308,1484.5327417308,0,0,0.00221565623888,0.00318988527268,20,5,24.139,1484.5327417308,0,0,0.0026995243646,0,0,0,343.8, 0.4, -3.9,0,0,1024,1024,1024,1024,0,0,0,0,335.5,0,0,84,,,,,,,2.135,86.18,1484.5327417308,0,41,Motors_Started,
282600,2023-10-24 11:27:06,48.3682385720173,14.5120744415836,0,0,1484.5327417308,1484.5327417308,0,0,0.0040025591832,0.0049871392672,20,5,24.139,1484.5327417308,0,0,0.0040025591832,0,0,0,343.7, 0.4, -3.9,0,0,1024,1024,1024,1024,0,0,0,0,335.5,0,0,84,,,,,,,2.135,86.18,1484.5327417308,0,41,Motors_Started,
282700,2023-10-24 11:27:06,48.3682385702313,14.5120744399073,0,0,1484.5327417308,1484.5327417308,0,0,0.0042947507936,0.005755085486,20,5,24.139,1484.5327417308,0,0,0.0042947507936,0,0,0,343.8, 0.4, -3.9,0,0,1024,1024,1024,1024,0,0,0,0,335.5,0,0,84,,,,,,,2.135,86.18,1484.5327417308,0,41,Motors_Started,
282700,2023-10-24 11:27:06,48.3682385696744,14.5120744393786,0,0,1484.5327417308,1484.5327417308,0,0,0.0044085959416,0.0059952757824,20,5,24.139,1484.5327417308,0,0,0.0044085959416,0,0,0,343.8, 0.4, -3.9,0,0,1024,1024,1024,1024,0,0,0,0,335.5,0,0,84,,,,,,,2.135,86.18,1484.5327417308,0,41,Motors_Started,
282800,2023-10-24 11:27:06,48.3682385671474,14.5120744390949,0,0,1484.5327417308,1484.5327417308,0,0,0.0052131891432,0.0069198493028,20,5,24.139,1484.5327417308,0,0,0.0052131891432,0,0,0,343.7, 0.4, -3.9,0,0,1024,1024,1024,1024,0,0,0,0,335.5,0,0,84,,,,,,,2.135,86.18,1484.5327417308,0,41,Motors_Started,
282900,2023-10-24 11:27:06,48.3682385627657,14.5120744418543,0,0,1484.5327417308,1484.5327417308,0,0,0.0069461288312,0.0086527889908,20,5,24.139,1484.5327417308,0,0,0.0069461288312,0,0,0,343.7, 0.5, -3.9,0,0,1024,1024,1024,1024,0,0,0,0,335.5,0,0,84,,,,,,,2.135,86.18,1484.5327417308,0,41,Motors_Started,
282900,2023-10-24 11:27:06,48.3682385623031,14.5120744421509,0,0,1484.5327417308,1484.5327417308,0,0,0.0071295605956,0.0088362207552,20,5,24.139,1484.5327417308,0,0,0.0071295605956,0,0,0,343.7, 0.5, -3.9,0,0,1024,1024,1024,1024,0,0,0,0,335.5,0,0,84,,,,,,,2.135,86.18,1484.5327417308,0,41,Motors_Started,
283000,2023-10-24 11:27:06,48.3682385584911,14.512074443247,0,0,1484.5327417308,1484.5327417308,0,0,0.0085203086716,0.0102521656824,20,5,24.139,1484.5327417308,0,0,0.0085203086716,0,0,0,343.8, 0.5, -3.9,0,0,1024,1024,1024,1024,0,0,0,0,335.5,0,0,84,,,,,,,2.135,86.18,1484.5327417308,0,41,Motors_Started,
283100,2023-10-24 11:27:06,48.3682385560454,14.5120744408873,0,0,1484.5327417308,1484.5327417308,0,0,0.0091921590868,0.0113120410444,20,5,24.139,1484.5327417308,0,0,0.0091921590868,0,0,0,343.7, 0.5, -4,0,0,1024,1024,1024,1024,0,0,0,0,335.5,0,0,84,,,,,,,2.135,86.18,1484.5327417308,0,41,Motors_Started,
283100,2023-10-24 11:27:06,48.3682385557713,14.5120744406165,0,0,1484.5327417308,1484.5327417308,0,0,0.0092715882232,0.0114316932792,20,5,24.139,1484.5327417308,0,0,0.0092715882232,0,0,0,343.8, 0.5, -4,0,0,1024,1024,1024,1024,0,0,0,0,335.5,0,0,84,,,,,,,2.135,86.18,1484.5327417308,0,41,Motors_Started,"Startpunkt aufgezeichnet. Höhe des Rückflugs: 70,0 m"
283200,2023-10-24 11:27:07,48.3682385541051,14.512074439701,0,0,1484.5327417308,1484.5327417308,0,0,0.0098093178992,0.0120788061608,20,5,24.139,1484.5327417308,0,0,0.0098093178992,0,0,0,343.8, 0.4, -4,0,0,1024,1024,1024,1024,0,0,0,0,335.5,0,0,84,,,,,,,2.135,86.18,1484.5327417308,0,41,Motors_Started,
283300,2023-10-24 11:27:07,48.3682385541394,14.5120744413128,0,0,1484.5327417308,1484.5327417308,0,0,0.0098903546472,0.0124696854384,20,5,24.139,1484.5327417308,0,0,0.0098903546472,0,0,0,343.8, 0.4, -4,0,0,1024,1024,1024,1024,0,0,0,0,335.5,0,0,84,,,,,,,2.135,86.18,1484.5327417308,0,41,Motors_Started,
283300,2023-10-24 11:27:07,48.368238554148,14.5120744417254,0,0,1484.5327417308,1484.5327417308,0,0,0.0099135173776,0.0125697510584,20,5,24.139,1484.5327417308,0,0,0.0099135173776,0,0,0,343.8, 0.5, -4,0,0,1024,1024,1024,1024,0,0,0,0,335.5,0,0,84,,,,,,,2.135,86.18,1484.5327417308,0,41,Motors_Started,
283400,2023-10-24 11:27:07,48.3682385568763,14.5120744467414,0,0,1484.5327417308,1484.5327417308,0,0,0.0093890751036,0.014141076568,20,5,24.139,1484.5327417308,0,0,0.0099135173776,0,0,0,343.8, 0.5, -4,0,0,1024,1024,1024,1024,0,0,0,0,335.5,0,0,84,,,,,,,2.135,86.18,1484.5327417308,0,41,Motors_Started,
283500,2023-10-24 11:27:07,48.3682385640892,14.5120744571472,0,0,1484.5327417308,1484.5327417308,0,0,0.0087100396488,0.0177861882332,20,5,24.139,1484.5327417308,0,0,0.0099135173776,0,0,0,343.8, 0.4, -4,0,0,1024,1024,1024,1024,0,0,0,0,335.5,0,0,84,,,,,,,2.135,86.18,1484.5327417308,0,41,Motors_Started,
