time(millisecond),datetime(utc),latitude,longitude,height_above_takeoff(feet),height_above_ground_at_drone_location(feet),ground_elevation_at_drone_location(feet),altitude_above_seaLevel(feet),height_sonar(feet),speed(mph),distance(feet),mileage(feet),satellites,gpslevel,voltage(v),max_altitude(feet),max_ascent(feet),max_speed(mph),max_distance(feet),xSpeed(mph),ySpeed(mph),zSpeed(mph),compass_heading(degrees),pitch(degrees),roll(degrees),isPhoto,isVideo,rc_elevator,rc_aileron,rc_throttle,rc_rudder,rc_elevator(percent),rc_aileron(percent),rc_throttle(percent),rc_rudder(percent),gimbal_heading(degrees),gimbal_pitch(degrees),gimbal_roll(degrees),battery_percent,voltageCell1,voltageCell2,voltageCell3,voltageCell4,voltageCell5,voltageCell6,current(A),battery_temperature(f),altitude(feet),ascent(feet),flycStateRaw,flycState,message
100,2023-01-19 11:40:47,46.6531738165191,14.2879939127949,0.0,0.0,1473.7754953235,1473.7754953235,0.0,0.0,0.0,0.0,20,5,0,1473.7754953235,0.0,0.0,0.0,0.0,0.0,0.0,47.6,4.6,0.1,0,0,-98,-100,-99,100,-98,-100,-99,100,47.6,0,0,99,4.255,4.237,4.241,4.253,0,0,0,52.7,1473.7754953235,0.0,41,Motors_Started,Fluggerät befindet sich in einer Warnzone (Flughafen). Bitte vorsichtig fliegen.
300,2023-01-19 11:40:47,46.6531739632642,14.2879939073073,0.0,0.0,1473.7754953235,1473.7754953235,0.0,0.0,0.053557416412,0.053557416412,20,5,0,1473.7754953235,0.0,0.0,0.053557416412,0.0,0.0,0.0,47.6,4.6,0.1,0,0,0,0,-16,48,0,0,-16,48,47.6,0,0,99,4.255,4.237,4.241,4.253,0,0,0,52.7,1473.7754953235,0.0,41,Motors_Started,Setting new Return-To-Home altitude to 70m (230 ft). Data Recorder File Index is 33. Setting new Maximum Flight Altitude to 170m (558 ft)
500,2023-01-19 11:40:48,46.6531739422108,14.2879938987247,0.0,0.0,1473.7754953235,1473.7754953235,0.0,0.0,0.045993767876,0.06153379462,20,5,0,1473.7754953235,0.0,0.0,0.053557416412,0.0,0.0,0.0,47.6,4.6,0.1,0,0,0,0,0,0,0,0,0,0,47.6,0,0,99,4.255,4.237,4.241,4.253,0,0,0,52.7,1473.7754953235,0.0,41,Motors_Started,
700,2023-01-19 11:40:48,46.6531739248683,14.2879937197884,0.0,0.0,1473.7754953235,1473.7754953235,0.0,0.0,0.0624425873,0.106790685832,20,5,0,1473.7754953235,0.0,0.0,0.0624425873,0.0,0.0,0.0,47.7,4.6,0.1,0,0,0,0,0,0,0,0,0,0,47.6,0,0,99,4.255,4.237,4.241,4.253,0,0,0,52.7,1473.7754953235,0.0,41,Motors_Started,
900,2023-01-19 11:40:48,46.6531740742398,14.2879937219194,0.0,0.0,1473.7754953235,1473.7754953235,0.0,0.0,0.10548261492400002,0.161291343744,20,5,17.053,1473.7754953235,0.0,0.0,0.10548261492400002,0.0,0.0,0.0,47.7,4.6,0.1,0,0,0,0,0,0,0,0,0,0,47.6,0,0,99,4.255,4.237,4.241,4.253,0,0,2.367,52.7,1473.7754953235,0.0,41,Motors_Started,
1100,2023-01-19 11:40:48,46.6531740485638,14.2879937258881,0.0,0.0,1473.7754953235,1473.7754953235,0.0,0.0,0.096739832492,0.17071194772,20,5,17.053,1473.7754953235,0.0,0.0,0.10548261492400002,0.0,0.0,0.0,47.6,4.6,0.1,0,0,0,0,0,0,0,0,0,0,47.6,0,0,99,4.255,4.237,4.241,4.253,0,0,2.367,52.7,1473.7754953235,0.0,41,Motors_Started,
1300,2023-01-19 11:40:48,46.6531740238754,14.2879937342202,0.0,0.0,1473.7754953235,1473.7754953235,0.0,0.0,0.087883532996,0.179958011008,20,5,17.053,1473.7754953235,0.0,0.0,0.10548261492400002,0.0,0.0,0.0,47.6,4.6,0.1,0,0,0,0,0,0,0,0,0,0,47.6,0,0,99,4.255,4.237,4.241,4.253,0,0,2.367,52.7,1473.7754953235,0.0,41,Motors_Started,
1500,2023-01-19 11:40:49,46.653174002547,14.2879937431184,0.0,0.0,1473.7754953235,1473.7754953235,0.0,0.0,0.0800771023,0.188052499456,20,5,17.053,1473.7754953235,0.0,0.0,0.10548261492400002,0.0,0.0,0.0,47.7,4.6,0.1,0,0,0,0,0,0,0,0,0,0,47.6,0,0,99,4.255,4.237,4.241,4.253,0,0,2.367,52.7,1473.7754953235,0.0,41,Motors_Started,
1700,2023-01-19 11:40:49,46.6531739883834,14.2879937489585,0.0,0.0,1473.7754953235,1473.7754953235,0.0,0.0,0.07493602602,0.193422906452,20,5,17.053,1473.7754953235,0.0,0.0,0.10548261492400002,0.0,0.0,0.0,47.7,4.6,0.1,0,0,0,0,0,0,0,0,0,0,47.6,0,0,99,4.255,4.237,4.241,4.253,0,0,2.367,52.7,1473.7754953235,0.0,10,Assisted_Takeoff,
1900,2023-01-19 11:40:49,46.6531739760305,14.2879937547273,0.0,0.0,1473.7754953235,1473.7754953235,0.0,0.0,0.070384844772,0.198155846236,20,5,17.073,1473.7754953235,0.0,0.0,0.10548261492400002,0.0,0.0,0.0,47.7,4.6,0.1,0,0,0,0,0,0,0,0,0,0,47.6,0,0,99,4.297,4.281,4.285,4.3,0,0,3.907,52.7,1473.7754953235,0.0,10,Assisted_Takeoff,
